Number Site HarvestYear SowingDate Variety Date HarvestDate Date_BBCH30 Date_BBCH55 Date_BBCH90 Biomass EarsPerSqM Grain_Number ProteinContentGrain N_in_biomassHarvest Grain_Yield
1 Site_601 1991 15/01/1991 IR72 07/02/1991 NA NA NA NA 20.9 NA NA NA NA NA
1 Site_601 1991 15/01/1991 IR72 18/02/1991 NA NA NA NA 121.6 NA NA NA NA NA
1 Site_601 1991 15/01/1991 IR72 25/03/1991 NA NA NA NA 769.1 NA NA NA NA NA
1 Site_601 1991 15/01/1991 IR72 01/04/1991 NA NA NA NA 913.5 NA NA NA NA NA
1 Site_601 1991 15/01/1991 IR72 23/04/1991 23/04/1991 18/02/1991 25/03/1991 23/04/1991 1250.5 NA 29911.0 7.5625 11.355457816873251 777.7
2 Site_601 1992 15/01/1992 IR72 07/02/1992 NA NA NA NA 18.8 NA NA NA NA NA
2 Site_601 1992 15/01/1992 IR72 18/02/1992 NA NA NA NA 117.7 NA NA NA NA NA
2 Site_601 1992 15/01/1992 IR72 23/03/1992 NA NA NA NA 760.7 NA NA NA NA NA
2 Site_601 1992 15/01/1992 IR72 30/03/1992 NA NA NA NA 913.2 NA NA NA NA NA
2 Site_601 1992 15/01/1992 IR72 21/04/1992 21/04/1992 18/02/1992 23/03/1992 21/04/1992 1235.7 NA 29506.0 7.75 11.410536537994659 767.1
3 Site_601 1993 15/01/1993 IR72 08/02/1993 NA NA NA NA 19.4 NA NA NA NA NA
3 Site_601 1993 15/01/1993 IR72 20/02/1993 NA NA NA NA 134.3 NA NA NA NA NA
3 Site_601 1993 15/01/1993 IR72 27/03/1993 NA NA NA NA 786.5 NA NA NA NA NA
3 Site_601 1993 15/01/1993 IR72 03/04/1993 NA NA NA NA 942.7 NA NA NA NA NA
3 Site_601 1993 15/01/1993 IR72 24/04/1993 24/04/1993 20/02/1993 27/03/1993 24/04/1993 1260.8 NA 29850.0 7.5 11.183375634517766 776.1
4 Site_601 1994 15/01/1994 IR72 07/02/1994 NA NA NA NA 20.2 NA NA NA NA NA
4 Site_601 1994 15/01/1994 IR72 18/02/1994 NA NA NA NA 124.1 NA NA NA NA NA
4 Site_601 1994 15/01/1994 IR72 23/03/1994 NA NA NA NA 737.6 NA NA NA NA NA
4 Site_601 1994 15/01/1994 IR72 31/03/1994 NA NA NA NA 907.5 NA NA NA NA NA
